node_id,node_type,feeder_name,lon,lat,utm_x,utm_y,attributes,block_name
NODE_0392,secondary_substation,SOWETO EX LANGATA,36.7522496,-1.3505581,249886.15,9850606.79,Substation Number=00433; Number of Customers=369,SIMBOLOS_N_158
NODE_0393,secondary_substation,SOWETO EX LANGATA,36.7608459,-1.340389,250842.14,9851732.54,Substation Number=250775,SIMBOLOS_N_158
NODE_0394,secondary_substation,HARDY EX LANGATA,36.790154,-1.321462,254103.11,9853829.09,Substation Number=04783B; Number of Customers=146,SIMBOLOS_N_158
NODE_0395,secondary_substation,SOWETO EX LANGATA,36.7653293,-1.3672935,251344.03,9848756.95,Substation Number=00460; Number of Customers=3,SIMBOLOS_N_158
NODE_0396,secondary_substation,HARDY EX LANGATA,36.7863852,-1.3197171,253683.36,9854021.72,Substation Number=13840; Number of Customers=80,SIMBOLOS_N_158
NODE_0397,secondary_substation,HARDY EX LANGATA,36.7916723,-1.3228436,254272.28,9853676.41,Substation Number=12229B; Number of Customers=169,SIMBOLOS_N_158
NODE_0398,secondary_substation,SOWETO EX LANGATA,36.7300176,-1.3114998,247407.05,9854925.04,Substation Number=104074; Number of Customers=1,SIMBOLOS_N_158
NODE_0399,secondary_substation,SOWETO EX LANGATA,36.7277909,-1.3080704,247158.81,9855304.17,Substation Number=161775; Number of Customers=0,SIMBOLOS_N_158
NODE_0400,secondary_substation,SOWETO EX LANGATA,36.7607493,-1.354019,250832.77,9850224.84,Substation Number=117295; Number of Customers=1,SIMBOLOS_N_158
NODE_0401,secondary_substation,MAGADI  EX LANGATA,36.7842721,-1.3379205,253449.92,9852007.96,Substation Number=15304B; Number of Customers=181,SIMBOLOS_N_158
NODE_0402,secondary_substation,MAGADI  EX LANGATA,36.7846054,-1.3386552,253487.1,9851926.73,Substation Number=15305B; Number of Customers=47,SIMBOLOS_N_158
NODE_0403,secondary_substation,SOWETO EX LANGATA,36.735074,-1.3348952,247972.37,9852337.61,Substation Number=206839,SIMBOLOS_N_158
NODE_0404,secondary_substation,SOWETO EX LANGATA,36.7603376,-1.376939,250789.3,9847689.48,Substation Number=02009; Number of Customers=11,SIMBOLOS_N_158
NODE_0405,secondary_substation,SOWETO EX LANGATA,36.7319399,-1.3327233,247623.22,9852577.54,Substation Number=30870; Number of Customers=36,SIMBOLOS_N_158
